"key_person","key_uuid","key_mlbam","key_retro","key_bbref","key_fangraphs","name_first","name_last","name_given","name_nick","birth_year","birth_month","birth_day","pro_played_first","mlb_played_first","mlb_played_last"
"6b5d0c72","6b5d0c72-1919-4ef7-819c-e25550568726",444844,"fox-j001","foxja02",6267,"Jake","Fox","Jacob Quirin","",1982,7,20,2003,2007,2011
"f3a03b43","f3a03b43-7941-4258-9559-e0e2038a80a9",460257,"fox-m001","foxma01",7320,"Matt","Fox","Matthew Jacob","",1982,12,4,2004,2010,2010
"f6b8919a","f6b8919a-e936-4930-9956-b73295d6ed48",641584,"","fraleja01",19260,"Jake","Fraley","Jake Arnold","",1995,5,25,2016,2019,2019
"55dca75f","55dca75f-b2c3-4472-a38e-5ad6c464848e",664034,"","francty01",17982,"Ty","France","Tyler Lawrence","",1994,7,13,2015,2019,2019
"8ed48c25","8ed48c25-a15a-4602-b6e5-e3db05c2bc38",433585,"franj003","francje01",4684,"Jeff","Francis","Jeffrey William","",1981,1,8,2002,2004,2015
"746335be","746335be-0582-43cc-82d5-f14395662500",450204,"franb001","francbe01",4677,"Ben","Francisco","Louis Benjamin","",1981,10,23,2002,2007,2013
"3b095d0a","3b095d0a-763d-4797-b341-8b304615d225",407911,"franf001","francfr01",1933,"Frank","Francisco","Franklin","",1979,9,11,1999,2004,2014
"c1c3c53c","c1c3c53c-5822-444e-a38c-c4b10bd0b7dd",464433,"franj005","francju02",6978,"Juan","Francisco","Juan Ramon","",1987,6,24,2006,2009,2014
"684fdfff","684fdfff-22f9-4a8a-862f-3dc05ffc33c2",575070,"","francen01",11896,"Enderson","Franco","Enderson Daniel","",1992,12,29,2010,2019,2019
"8c9802d5","8c9802d5-cc56-41e9-b966-549f71d46643",596748,"franm004","francma02",12179,"Maikel","Franco","Maikel Antonio","",1992,8,26,2010,2014,2019
"8f25f690","8f25f690-f7fd-4dd6-85e6-23d6d9bb2726",425796,"franj004","francje02",4792,"Jeff","Francoeur","Jeffrey Braden","",1984,1,8,2002,2005,2016
"669d364b","669d364b-1fef-42fa-947e-d7ef02617bec",435623,"frank001","frandke01",7528,"Kevin","Frandsen","Kevin Vincent","",1982,5,24,2004,2006,2015
"2837ec12","2837ec12-5a66-4b39-a663-977b115dc040",545338,"frann001","frankni01",10166,"Nick","Franklin","Nicholas Edward","",1991,3,2,2009,2013,2018
"75fd94d2","75fd94d2-0e54-4be4-9e74-026547fba231",211041,"franr001","frankry01",1076,"Ryan","Franklin","Ryan Ray","",1973,3,5,1993,1999,2011
"395df6ad","395df6ad-2639-4e02-81cc-7cfadfc42ac2",571676,"frans001","frankse01",11346,"Seth","Frankoff","James Seth","",1988,8,27,2010,2017,2017
"4cdf113e","4cdf113e-cdcf-4f1f-98ad-6107941f5332",621350,"frarc001","frareca01",14353,"Caleb","Frare","Caleb Michael","",1993,7,8,2012,2018,2019
"b0a51a64","b0a51a64-6fb9-4cd5-ad9c-5cc401abeb54",430630,"frasj002","frasoja01",1906,"Jason","Frasor","Jason Andrew","",1977,8,9,1999,2004,2015
"b26acf0e","b26acf0e-e25a-402a-b254-d00cdc15fb76",624428,"fraza001","fraziad01",15223,"Adam","Frazier","Adam Timothy","",1991,12,14,2013,2016,2019
"abec3bd3","abec3bd3-bf93-4a8e-992e-e964e70aee2c",640449,"frazc001","frazicl01",15983,"Clint","Frazier","Clint Jackson","",1994,9,6,2013,2017,2019
"e3b6434f","e3b6434f-206a-4160-ba48-e74a9dab1346",455095,"frazj001","frazije01",8056,"Jeff","Frazier","Jeffrey Michael","",1982,8,10,2004,2010,2010
"b14ec27f","b14ec27f-b877-4a83-9ab2-84e63353e1ae",453943,"frazt001","frazito01",785,"Todd","Frazier","Todd Brian","",1986,2,12,2007,2011,2019
"8195b39a","8195b39a-75ff-4f0b-b6bd-38fc352bb372",607536,"freek001","freelky01",16256,"Kyle","Freeland","Kyle Richard","",1993,5,14,2014,2017,2019
"2c66b3f7","2c66b3f7-ab9b-48ca-8bf8-40d167f3b855",518692,"freef001","freemfr01",5361,"Freddie","Freeman","Frederick Charles","",1989,9,12,2007,2010,2019
"3567523d","3567523d-50a5-4ef7-9a53-2cf14cc06584",543178,"freej001","freemju02",7568,"Justin","Freeman","Justin Michael","",1986,10,22,2008,2013,2013
